Year ,Wind ,Grid_Scale_PV,Distributed_PV,Hydro
Q3 2020,17.01149425,26.20689655,49.1954023,51.03448276
Q4 2020,14.25287356,24.36781609,51.4942529,54.02298851
Q1 2021,10.34482759,22.52873563,48.9655172,51.03448276
Q2 2021,17.47126437,27.35632184,52.183908,54.71264368
Q3 2021,15.86206897,28.27586207,59.0804598,61.37931034
Q4 2021,16.55172414,27.35632184,59.7701149,61.37931034
Q1 2022,10.11494253,26.20689655,58.1609195,61.37931034
Q2 2022,11.49425287,26.43678161,56.5517241,58.62068966
Q3 2022,18.16091954,28.96551724,61.1494253,63.90804598
Q4 2022,16.55172414,30.34482759,64.5977011,68.73563218
Q1 2023,11.72413793,27.35632184,63.4482759,65.74712644
Q2 2023,20.91954023,33.10344828,63.4482759,65.97701149
Q3 2023,7.586206897,26.66666667,65.7471264,69.65517241